사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201501,9호선,사평,0,0,462,98,2624,1279,9342,2947,9312,5477,5706,4317,4505,2794,4794,2495,4865,3330,5024,4327,4683,4364,4595,4584,5084,4964,6120,5714,7312,8235,4513,8113,2826,5347,2131,4826,1893,5159,663,3295,135,934,0,25,0,0,0,0,20151223
201501,9호선,샛강,1,0,1111,939,2296,4393,4662,14945,6274,30031,5615,16042,5287,9212,6626,9500,7180,8122,8402,9349,9308,8716,10469,9052,10766,9440,14187,11181,27449,14113,16603,10611,12545,6562,13039,4726,9780,5131,4586,3306,1020,1712,0,217,0,0,0,0,20151223
201501,9호선,선유도,2,0,1647,363,5445,3461,16222,11389,18167,42856,9227,16177,7787,7280,7842,6891,8368,6818,8804,8175,8231,7956,9154,8147,9061,8715,13718,9114,30876,14444,17514,13653,10737,9232,8598,7378,6418,8645,3375,5294,551,1990,0,379,0,0,0,0,20151223
201501,9호선,신논현,1,0,5619,638,15648,20836,43350,70885,42086,124761,24323,87874,24339,51707,30045,40900,34884,45046,43678,48673,44469,47183,49333,43023,59335,46965,72705,53673,117262,82338,96235,77879,72511,36144,80252,31561,78524,25106,39667,17478,6254,5192,0,294,0,0,1,0,20151223
201501,9호선,신목동,0,0,1618,330,5681,1520,16992,2856,16478,6127,9315,3555,6825,3036,6441,3536,6215,4174,6358,4844,5636,4901,5666,5298,6263,5955,7371,7033,7777,11344,4350,11620,3150,7621,2963,7325,2902,8086,1337,5970,295,2008,0,82,0,0,0,0,20151223
201501,9호선,신반포,0,0,462,422,2177,5293,6607,5065,8055,9350,6254,6578,4297,4526,4571,3618,5318,4098,5024,4597,4575,4699,5222,4676,5892,4947,9009,5276,8495,7813,4863,6964,3645,4096,3197,3907,2488,4207,967,2772,179,677,0,6,0,0,0,0,20151223
201501,9호선,신방화,1,0,4369,681,12004,5040,31655,4718,31597,8610,17520,5784,13101,5035,11568,5304,12358,6598,11116,7811,9901,8033,9139,10186,10230,12367,12080,15502,10465,20734,6261,25647,4211,15851,3804,16813,3016,15015,1479,12468,266,4007,5,359,0,0,0,0,20151223
201501,9호선,양천향교,0,0,3116,721,8815,6168,24844,7247,24427,22473,13809,10579,10268,6821,9847,7039,10603,6707,10460,8854,9681,7878,9508,9662,11118,9834,14480,12450,21340,16709,9988,19688,6070,15104,5188,11722,4085,13564,1700,9356,347,3113,2,105,0,0,0,0,20151223
201501,9호선,여의도,1,0,1426,1471,3512,17355,8145,100105,9685,124310,9921,35790,10750,19341,14400,19467,14747,20316,18541,21734,20336,18955,25168,18925,28441,18994,46159,19252,117135,23214,65343,18516,41349,10060,39355,8236,27224,7514,10689,5557,1693,1638,0,10,0,0,0,0,20151223
201501,9호선,염창,3,0,7588,548,21822,4117,65149,7921,64154,19401,35161,11256,24727,9683,22231,9579,22939,12100,21418,14154,18022,15964,16950,18999,17789,23036,19727,26976,24583,44534,14702,53176,10290,35527,9051,34543,8675,31725,4527,23309,901,7223,5,171,0,0,0,0,20151223
